wuf20-91-M, 1, 10115, 38642, 38642, 0, 0
wuf20-91-N, 1, 13350, 1.10707e+06, 1.10707e+06, 0, 0
wuf20-91-Q, 1, 10785, 15292, 15292, 0, 0
wuf20-91-R, 1, 13025, 150376, 150376, 0, 0
wuf50-218-M, 0.96, 12230, 319476, 340192, 0.00559274, 0.200005
wuf50-218-N, 0.94, 13895, 1.7535e+06, 1.88191e+06, 0.00687415, 0.304732
wuf50-218-Q, 0.96, 11620, 28886.6, 33097, 0.0138468, 0.216616
wuf50-218-R, 0.95, 13390, 181115, 205207, 0.0155738, 0.414815
wuf75-325-M, 0.74, 11925, 166348, 237421, 0.0283227, 0.900038
wuf75-325-N, 0.71, 13965, 1.30271e+06, 2.00461e+06, 0.0307522, 0.626343
wuf75-325-Q, 0.69, 11415, 23852.3, 42532, 0.052673, 0.883936
wuf75-325-R, 0.68, 14195, 424393, 737600, 0.051832, 0.923086
